Module,Area_km2,S__number,S__minimum,S__maximum,S__range,S__average,S__stddev,S__varianc,S__varia_1,S__varia_2,S__varia_3,S__varia_4,S__varia_5,S__varia_6,S__varia_7,S__varia_8,S__varia_9,S__varia10,S__varia11,S__varia12,S__varia13,S__varia14,S__varia15,S__varia16,S__varia17,S__varia18,S__varia19,S__varia20,S__varia21,S__varia22,S__varia23,S__varia24,S__varia25,S__varia26,S__varia27,S__varia28,S__varia29,S__varia30,S__varia31,S__varia32,S__varia33,S__varia34,S__varia35,S__varia36,S__varia37,S__varia38,S__varia39,S__varia40,S__varia41,S__varia42,S__varia43,S__varia44,S__varia45,S__varia46,S__varia47,S__varia48,S__varia49,S__varia50,S__varia51,S__varia52,S__varia53,S_count,S_sum,S_mean,S_median,S_stdev,S_min,S_max,S_range,S_minority,S_majority,S_variety,S_variance
"22",77.397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86043,24477.9658410605,0.284485267146201,0.305530104995597,0.1377943409443,-0.0391538262565765,0.698551224675696,0.737705050932272,-0.0391538262565765,-0.0391538262565765,86043,0.018987280396274
"21",87.223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96667,28882.9322558286,0.298787924067454,0.318282569594577,0.134007834294059,-0.0482932335648767,0.580440789219364,0.628734022784241,-0.0482932335648767,-0.0482932335648767,96667,0.017958099652184
"2",80.768,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,90005,26884.4722930957,0.29869976438082,0.323008369740768,0.141679151790454,0.00388544469056357,0.636969908702579,0.633084464012015,0.00388544469056357,0.00388544469056357,90005,0.0200729820520625
"3",148.498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165033,48492.7457838789,0.293836661660873,0.322176313209163,0.145814823893037,-0.0575224122702892,0.580546917363032,0.638069329633322,-0.0575224122702892,-0.0575224122702892,165033,0.0212619628669573
"1",153.230,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,157689,46296.2762195375,0.29359230015751,0.316301941982216,0.144569411118089,-0.0183134374559093,0.61398552860648,0.632298966062389,-0.0183134374559093,-0.0183134374559093,157689,0.0209003146310311
"7",135.200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150180,36639.7899778444,0.243972499519539,0.221009872455811,0.154615801904677,-0.0574832949069799,0.613120321419572,0.670603616326552,-0.0574832949069799,-0.0574832949069799,150180,0.0239060461986263
"5",124.384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138275,38112.9383404026,0.275631447046846,0.290912488708336,0.155469317589069,-0.00706283801750824,0.58377855538683,0.590841393404338,-0.00706283801750824,-0.00706283801750824,138275,0.0241707087116109
"6",76.723,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,85239,24114.6214385973,0.282905963685605,0.293174396547443,0.148321117895027,-0.0154912364430356,0.573527623889676,0.589018860332712,-0.0154912364430356,-0.0154912364430356,85239,0.0219991540136304
"4",186.638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,207433,52471.6912364405,0.252957298194793,0.240088384977296,0.151166205553351,-0.074125415233906,0.652130965629872,0.726256380863778,-0.074125415233906,-0.074125415233906,207433,0.0228512217013979
"8",130.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,145087,38407.2577843181,0.264718808606685,0.270173613785244,0.142007221184641,-0.0697638622821505,0.609858275796236,0.679622138078386,-0.0697638622821505,-0.0697638622821505,145087,0.0201660508685835
"16",216.747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240854,45045.7793174537,0.187025248978442,0.122515403084585,0.143339827650937,-0.0895950856931918,0.600011265781295,0.689606351474487,-0.0895950856931918,-0.0895950856931918,240854,0.0205463061910003
"15",212.860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236469,50730.1162790792,0.21453178335883,0.179177413169574,0.148437036583071,-0.0439673592695534,0.624721023789535,0.668688383059089,-0.0439673592695534,-0.0439673592695534,236469,0.022033553829564
